id,store,brand,sku,name_ar,name_en,category,subcategory,price_sar,previous_price_sar,availability,dimensions,style_tags,tier,product_url,source_checked_at,needs_live_recheck
ikea-sa-s59099155,IKEA Saudi Arabia,IKEA,S590.991.55,سرير BRIMNES مع تخزين ولوح رأس,BRIMNES Bed frame with storage and headboard,bedroom,bed-frame-storage,1354,1374,available,160×200 سم,modern|white|storage,balanced,https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-s59099155/,2026-07-16,True
ikea-sa-20602439,IKEA Saudi Arabia,IKEA,206.024.39,سرير VIHALS أبيض,VIHALS Bed frame white,bedroom,bed-frame,495,599,unknown,140×200 سم,minimal|white|budget,economic,https://www.ikea.com/sa/en/p/vihals-bed-frame-white-20602439/,2026-07-16,True
ikea-sa-s09929373,IKEA Saudi Arabia,IKEA,S099.293.73,سرير MALM مرتفع أبيض,MALM Bed frame high white,bedroom,bed-frame,829,849,unknown,160×200 سم,minimal|white|modern,balanced,https://www.ikea.com/sa/en/p/malm-bed-frame-high-white-s09929373/,2026-07-16,True
ikea-sa-s29931600,IKEA Saudi Arabia,IKEA,S299.316.00,سرير MALM كينغ مرتفع أبيض,MALM King bed frame high white,bedroom,king-bed-frame,929,949,unknown,180×200 سم,minimal|white|modern,balanced,https://www.ikea.com/sa/en/p/malm-bed-frame-high-white-s29931600/,2026-07-16,True
ikea-sa-s69929233,IKEA Saudi Arabia,IKEA,S699.292.33,سرير TARVA من الصنوبر,TARVA Bed frame pine,bedroom,bed-frame,625,645,unknown,160×200 سم,natural|pine|scandinavian,economic,https://www.ikea.com/sa/en/p/tarva-bed-frame-pine-s69929233/,2026-07-16,True
ikea-sa-10579496,IKEA Saudi Arabia,IKEA,105.794.96,سرير STJÄRNÖ أبيض,STJÄRNÖ Bed frame white,bedroom,bed-frame,795,,unknown,160×200 سم,white|metal|classic,balanced,https://www.ikea.com/sa/en/p/stjaernoe-bed-frame-white-10579496/,2026-07-16,True
ikea-sa-70407360,IKEA Saudi Arabia,IKEA,704.073.60,كومودينة BJÖRKSNÄS من البتولا,BJÖRKSNÄS Bedside table birch,bedroom,bedside-table,439,549,unknown,48×38 سم,natural|birch|scandinavian,balanced,https://www.ikea.com/sa/en/p/bjoerksnaes-bedside-table-birch-70407360/,2026-07-16,True
ikea-sa-00583106,IKEA Saudi Arabia,IKEA,005.831.06,كومودينة GRÅFJÄLLET بيضاء,GRÅFJÄLLET Bedside table white,bedroom,bedside-table,179,,unknown,45×36×59 سم,minimal|white|metal,economic,https://www.ikea.com/sa/en/p/grafjaellet-bedside-table-white-00583106/,2026-07-16,True
ikea-sa-20569977,IKEA Saudi Arabia,IKEA,205.699.77,كومودينة KNARREVIK سوداء,KNARREVIK Bedside table black,bedroom,bedside-table,69,,unknown,42×34 سم,minimal|black|metal,economic,https://www.ikea.com/sa/en/p/knarrevik-bedside-table-black-20569977/,2026-07-16,True
ikea-sa-00439468,IKEA Saudi Arabia,IKEA,004.394.68,دولاب NORDKISA مفتوح بباب سحاب,NORDKISA Open wardrobe with sliding door,storage,wardrobe,1195,,available,120×186 سم,bamboo|natural|open-storage,balanced,https://www.ikea.com/sa/en/p/nordkisa-open-wardrobe-with-sliding-door-bamboo-00439468/,2026-07-16,True
