id,store,brand,sku,name_ar,name_en,category,subcategory,price_sar,previous_price_sar,availability,dimensions,style_tags,tier,product_url,source_checked_at,needs_live_recheck
ikea-sa-89443184,IKEA Saudi Arabia,IKEA,894.431.84,كنبة KIVIK ثلاثية المقاعد مع شيزلونج,KIVIK 3-seat sofa with chaise longue,sofas,chaise-sofa,6590,7390,available,عرض 280 سم، عمق 163 سم، ارتفاع 83 سم,modern|sectional|black|leather,luxury,https://www.ikea.com/sa/en/p/kivik-3-seat-sofa-with-chaise-longue-grann-bomstad-black-s89443184/,2026-07-16,True
ikea-sa-90533174,IKEA Saudi Arabia,IKEA,905.331.74,كرسي EKENÄSET بذراعين,EKENÄSET Armchair,armchairs,armchair,999,,available,,retro|scandinavian|light-beige,balanced,https://www.ikea.com/sa/en/p/ekenaeset-armchair-kilanda-light-beige-90533174/,2026-07-16,True
ikea-sa-29329756,IKEA Saudi Arabia,IKEA,293.297.56,كرسي SÖDERHAMN بذراعين,SÖDERHAMN Armchair,armchairs,armchair,1795,,available,,modern|beige|low-profile,balanced,https://www.ikea.com/sa/en/p/soederhamn-armchair-viarp-beige-s29329756/,2026-07-16,True
ikea-sa-29578307,IKEA Saudi Arabia,IKEA,295.783.07,كرسي BONDHOLMEN خارجي,BONDHOLMEN Outdoor armchair,outdoor-seating,outdoor-armchair,754,854,available,,outdoor|traditional|white|beige,balanced,https://www.ikea.com/sa/en/p/bondholmen-armchair-outdoor-white-beige-froesoen-duvholmen-beige-s29578307/,2026-07-16,True
ikea-sa-90449905,IKEA Saudi Arabia,IKEA,904.499.05,طاولة قهوة LACK بيضاء,LACK Coffee table white,coffee-tables,rectangular-coffee-table,139,,available,90×55 سم,minimal|white|budget,economic,https://www.ikea.com/sa/en/p/lack-coffee-table-white-90449905/,2026-07-16,True
ikea-sa-00104291,IKEA Saudi Arabia,IKEA,001.042.91,طاولة قهوة LACK بني-أسود,LACK Coffee table black-brown,coffee-tables,rectangular-coffee-table,239,,available,118×78 سم,minimal|dark-wood|budget,economic,https://www.ikea.com/sa/en/p/lack-coffee-table-black-brown-00104291/,2026-07-16,True
ikea-sa-90540706,IKEA Saudi Arabia,IKEA,905.407.06,طاولة قهوة HOLMERUD تأثير بلوط,HOLMERUD Coffee table oak effect,coffee-tables,rectangular-coffee-table,249,,available,90×55 سم,modern|oak|storage,economic,https://www.ikea.com/sa/en/p/holmerud-coffee-table-oak-effect-90540706/,2026-07-16,True
ikea-sa-19387544,IKEA Saudi Arabia,IKEA,193.875.44,مصباح أرضي مقوس SKOTTORP / SKAFTET,SKOTTORP / SKAFTET Floor lamp arched,lighting,floor-lamp,379,,available,,modern|arched|light-grey,balanced,https://www.ikea.com/sa/en/p/skottorp-skaftet-floor-lamp-arched-light-grey-s19387544/,2026-07-16,True
ikea-sa-50599402,IKEA Saudi Arabia,IKEA,505.994.02,مصباح سقف KÄRRNOCKA أبيض,KÄRRNOCKA Ceiling lamp white,lighting,ceiling-lamp,79,,available,قطر 37 سم,minimal|white|ceiling,economic,https://www.ikea.com/sa/en/p/kaerrnocka-ceiling-lamp-white-50599402/,2026-07-16,True
ikea-sa-90520930,IKEA Saudi Arabia,IKEA,905.209.30,مصباح طاولة BLÅSVERK بيج,BLÅSVERK Table lamp beige,lighting,table-lamp,54,69,available,ارتفاع 36 سم,retro|beige|table-lamp,economic,https://www.ikea.com/sa/en/p/blasverk-table-lamp-beige-90520930/,2026-07-16,True
ikea-sa-20404887,IKEA Saudi Arabia,IKEA,204.048.87,مصباح سقف NÖSUND من البتولا,NÖSUND Ceiling lamp birch,lighting,ceiling-lamp,329,,available,قطر 44 سم,natural|birch|scandinavian,balanced,https://www.ikea.com/sa/en/p/noesund-ceiling-lamp-birch-20404887/,2026-07-16,True
ikea-sa-00486884,IKEA Saudi Arabia,IKEA,004.868.84,قاعدة مصباح طاولة STRÅLA بيضاء,STRÅLA Table lamp base white,lighting,table-lamp-base,40,,available,,white|decorative|table-lamp,economic,https://www.ikea.com/sa/en/p/strala-table-lamp-base-white-00486884/,2026-07-16,True
ikea-sa-80309203,IKEA Saudi Arabia,IKEA,803.092.03,مصباح أرضي VIDJA أبيض,VIDJA Floor lamp white,lighting,floor-lamp,179,,available,ارتفاع 138 سم,white|ambient|floor-lamp,economic,https://www.ikea.com/sa/en/p/vidja-floor-lamp-white-80309203/,2026-07-16,True
ikea-sa-60216549,IKEA Saudi Arabia,IKEA,602.165.49,مصباح أرضي HEKTAR رمادي داكن,HEKTAR Floor lamp dark grey,lighting,floor-lamp,,,unknown,ارتفاع 181 سم، قطر الغطاء 31.5 سم، قطر القاعدة 34 سم,industrial|dark-grey|adjustable,balanced,https://www.ikea.com/sa/en/p/hektar-floor-lamp-dark-grey-60216549/,2026-07-16,True
ikea-sa-80070763,IKEA Saudi Arabia,IKEA,800.707.63,ستائر شفافة ALVINE SPETS زوج,"ALVINE SPETS Net curtains, pair",curtains,sheer-curtains,34.95,49.95,available,145×300 سم,sheer|off-white|classic,economic,https://www.ikea.com/sa/en/p/alvine-spets-net-curtains-1-pair-off-white-with-rod-pocket-80070763/,2026-07-16,True
